settlement_id,name,municipality,status,validity_reason,subpaths,area
208779,,Zvornik,has_invalid_subpaths,too_few_points,2,60.30942289789911
200018,,Banja Luka,needs_fix,fixed_buffer0,1,425.8468771739152
200026,,Banja Luka,needs_fix,fixed_buffer0,1,945.9294644596588
200077,,Banja Luka,needs_fix,fixed_buffer0,1,331.13086136011873
200115,,Banja Luka,needs_fix,fixed_buffer0,1,49.642323737022714
200166,,Banja Luka,needs_fix,fixed_buffer0,1,254.52436803694837
200247,,Banja Luka,needs_fix,fixed_buffer0,1,123.568117853398
200301,,Banja Luka,needs_fix,fixed_buffer0,1,200.1672308099184
200476,,Banja Luka,needs_fix,fixed_buffer0,1,437.0441409169501
200492,,Banja Luka,needs_fix,fixed_buffer0,1,292.2029822303505
200581,,Banja Luka,needs_fix,fixed_buffer0,1,29.91931530713093
100048,,Banovici,needs_fix,fixed_buffer0,1,56.008063026946694
100102,,Banovici,needs_fix,fixed_buffer0,1,30.671194758702214
100129,,Banovici,needs_fix,fixed_buffer0,1,40.3358726839501
100145,,Banovici,needs_fix,fixed_buffer0,1,61.24450457566223
100153,,Banovici,needs_fix,fixed_buffer0,1,58.96868583076175
100161,,Banovici,needs_fix,fixed_buffer0,1,512.7744005144465
100170,,Banovici,needs_fix,fixed_buffer0,1,106.67209389495711
100200,,Banovici,needs_fix,fixed_buffer0,1,84.68302265715478
200620,,Berkovici,needs_fix,fixed_buffer0,1,202.5882544802846
200697,,Berkovici,needs_fix,fixed_buffer0,1,14.173524748784764
200727,,Berkovici,needs_fix,fixed_buffer0,1,120.5546213360399
200751,,Berkovici,needs_fix,fixed_buffer0,1,142.27370710165513
200760,,Berkovici,needs_fix,fixed_buffer0,1,180.84661244149282
100811,,Bihac,needs_fix,fixed_buffer0,1,47.623885810486094
100838,,Bihac,needs_fix,fixed_buffer0,1,778.6516199552044
100854,,Bihac,needs_fix,fixed_buffer0,1,188.13929396582265
100862,,Bihac,needs_fix,fixed_buffer0,1,148.55873318632143
100897,,Bihac,needs_fix,fixed_buffer0,1,60.694912345694625
100951,,Bihac,needs_fix,fixed_buffer0,1,323.019028929102
101001,,Bihac,needs_fix,fixed_buffer0,1,62.82343159483077
101010,,Bihac,needs_fix,fixed_buffer0,1,40.0197432829798
101036,,Bihac,needs_fix,fixed_buffer0,1,91.19100402323922
101117,,Bihac,needs_fix,fixed_buffer0,1,30.78382668662063
101133,,Bihac,needs_fix,fixed_buffer0,1,47.39956601073432
101150,,Bihac,needs_fix,fixed_buffer0,1,22.77705475281323
101214,,Bihac,needs_fix,fixed_buffer0,1,81.5002358593393
101273,,Bihac,needs_fix,fixed_buffer0,1,64.29494903962434
101303,,Bihac,needs_fix,fixed_buffer0,1,30.866635561066467
101311,,Bihac,needs_fix,fixed_buffer0,1,229.97320400716677
151483,,Bihac,needs_fix,fixed_buffer0,1,124.65385844388052
151564,,Bihac,needs_fix,fixed_buffer0,1,268.49374968837265
151572,,Bihac,needs_fix,fixed_buffer0,1,250.34612559696362
200964,,Bijeljina,needs_fix,fixed_buffer0,1,351.70589739729814
200972,,Bijeljina,needs_fix,fixed_buffer0,1,225.1045014151493
201049,,Bijeljina,needs_fix,fixed_buffer0,1,148.4277929833594
201073,,Bijeljina,needs_fix,fixed_buffer0,1,54.631512486552595
201081,,Bijeljina,needs_fix,fixed_buffer0,1,108.51648220465293
201138,,Bijeljina,needs_fix,fixed_buffer0,1,55.68781133336467
201162,,Bijeljina,needs_fix,fixed_buffer0,1,45.497541177856235
201243,,Bijeljina,needs_fix,fixed_buffer0,1,21.15246268467547
201251,,Bijeljina,needs_fix,fixed_buffer0,1,131.31486420015796
201286,,Bijeljina,needs_fix,fixed_buffer0,1,59.04457884499746
201316,,Bijeljina,needs_fix,fixed_buffer0,1,152.42089005050096
201359,,Bijeljina,needs_fix,fixed_buffer0,1,26.182550191251167
201367,,Bijeljina,needs_fix,fixed_buffer0,1,131.0515513800404
201383,,Bijeljina,needs_fix,fixed_buffer0,1,53.812510960198296
201405,,Bijeljina,needs_fix,fixed_buffer0,1,95.08785612779786
201421,,Bijeljina,needs_fix,fixed_buffer0,1,249.8832665401035
201430,,Bijeljina,needs_fix,fixed_buffer0,1,29.58544006187455
230251,,Bijeljina,needs_fix,fixed_buffer0,1,57.99190418515106
230260,,Bijeljina,needs_fix,fixed_buffer0,1,98.7305810221938
230278,,Bijeljina,needs_fix,fixed_buffer0,1,106.17793947390041
230286,,Bijeljina,needs_fix,fixed_buffer0,1,137.4395306470508
230316,,Bijeljina,needs_fix,fixed_buffer0,1,122.8874802010083
230324,,Bijeljina,needs_fix,fixed_buffer0,1,50.93212049637639
230332,,Bijeljina,needs_fix,fixed_buffer0,1,102.05907809533755
201634,,Bileca,needs_fix,fixed_buffer0,1,112.899014904245
201634,,Bileca,needs_fix,fixed_buffer0,1,108.85821035622885
201669,,Bileca,needs_fix,fixed_buffer0,1,97.15000361735085
201707,,Bileca,needs_fix,fixed_buffer0,1,92.85178691265601
201731,,Bileca,needs_fix,fixed_buffer0,1,21.987797054827514
201766,,Bileca,needs_fix,fixed_buffer0,1,34.55294155110267
201804,,Bileca,needs_fix,fixed_buffer0,1,30.78559501414792
201812,,Bileca,needs_fix,fixed_buffer0,1,49.29944124999265
201898,,Bileca,needs_fix,fixed_buffer0,1,87.61649598448781
201910,,Bileca,needs_fix,fixed_buffer0,1,33.527398148848604
201944,,Bileca,needs_fix,fixed_buffer0,1,85.36804529740336
201987,,Bileca,needs_fix,fixed_buffer0,1,127.7422566439583
202002,,Bileca,needs_fix,fixed_buffer0,1,31.54439920020065
202037,,Bileca,needs_fix,fixed_buffer0,1,44.27885688894812
202053,,Bileca,needs_fix,fixed_buffer0,1,34.02580798548967
202118,,Bileca,needs_fix,fixed_buffer0,1,246.6361351171422
202134,,Bileca,needs_fix,fixed_buffer0,1,80.6195739740743
202169,,Bileca,needs_fix,fixed_buffer0,1,202.6479844430529
210838,,Bosanska Dubica,needs_fix,fixed_buffer0,1,41.56232913537702
210978,,Bosanska Dubica,needs_fix,fixed_buffer0,1,22.950652994750126
210986,,Bosanska Dubica,needs_fix,fixed_buffer0,1,55.11902970329499
210994,,Bosanska Dubica,needs_fix,fixed_buffer0,1,81.02172727745953
211109,,Bosanska Dubica,needs_fix,fixed_buffer0,1,265.6424083753346
211141,,Bosanska Dubica,needs_fix,fixed_buffer0,1,39.32958445683112
211168,,Bosanska Dubica,needs_fix,fixed_buffer0,1,43.22448722290039
206113,,Bosanska Gradiska,needs_fix,fixed_buffer0,1,32.060802616300556
206172,,Bosanska Gradiska,needs_fix,fixed_buffer0,1,123.88159774601174
206229,,Bosanska Gradiska,needs_fix,fixed_buffer0,1,75.73306490745121
206326,,Bosanska Gradiska,needs_fix,fixed_buffer0,1,225.10986708908257
206377,,Bosanska Gradiska,needs_fix,fixed_buffer0,1,103.80253232265929
